VelocityX,VelocityY,PositionX,PositionY
-0.00308054,-0.000597788,0,0
-0.00307409,-0.000634544,-7.69389e-05,-1.5405e-05
-0.00306668,-0.000670819,-0.000153704,-3.17272e-05
-0.00305857,-0.000706144,-0.000230273,-4.89459e-05
-0.00305013,-0.000740394,-0.000306633,-6.70344e-05
-0.00304171,-0.000773627,-0.00038278,-8.59656e-05
-0.00303353,-0.000805986,-0.000458718,-0.000105716
-0.00302574,-0.000837629,-0.000534456,-0.000126265
-0.00301842,-0.000868615,-0.000610005,-0.000147597
-0.00301188,-0.000898826,-0.000685377,-0.000169696
-0.00300692,-0.000928677,-0.000760599,-0.000192538
-0.00300364,-0.000959386,-0.000835723,-0.00021613
-0.00300115,-0.000991621,-0.000910781,-0.000240508
-0.00299888,-0.0010253,-0.000985781,-0.000265711
-0.00299654,-0.00106038,-0.00106072,-0.000291773
-0.00299388,-0.00109689,-0.00113561,-0.00031873
-0.00299059,-0.00113487,-0.00121042,-0.000346618
-0.00298629,-0.00117428,-0.00128514,-0.000375473
-0.00298052,-0.00121492,-0.00135973,-0.000405331
-0.0029729,-0.00125626,-0.00143416,-0.000436219
-0.00296373,-0.00129759,-0.00150838,-0.000468144
-0.00295362,-0.00133912,-0.00158235,-0.000501099
-0.00294223,-0.00138139,-0.00165606,-0.0005351
-0.00292892,-0.00142414,-0.00172946,-0.000570168
-0.00291351,-0.0014668,-0.0018025,-0.000606307
-0.00289607,-0.00150893,-0.00187514,-0.000643509
-0.00287676,-0.00155018,-0.00194731,-0.000681754
-0.0028558,-0.00159029,-0.00201897,-0.000721017
-0.00283333,-0.00162908,-0.0020901,-0.000761268
-0.0028094,-0.00166624,-0.00216064,-0.000802471
-0.00278439,-0.00170109,-0.00223057,-0.000844581
-0.0027595,-0.0017334,-0.00229986,-0.000887526
-0.00273555,-0.00176402,-0.00236854,-0.00093125
-0.00271242,-0.0017937,-0.00243664,-0.000975727
-0.00268998,-0.00182263,-0.00250416,-0.00102094
-0.00266824,-0.00185099,-0.00257114,-0.00106686
-0.00264725,-0.00187901,-0.00263758,-0.00111348
-0.00262697,-0.00190698,-0.0027035,-0.00116081
-0.00260729,-0.00193522,-0.00276892,-0.00120883
