VelocityX,VelocityY,PositionX,PositionY
1.80261,-4.41315,-1.53969,-0.511708
2.15536,-4.28125,-1.49017,-0.620559
2.50105,-4.12189,-1.43192,-0.725771
2.83768,-3.93494,-1.36512,-0.826654
3.16312,-3.7204,-1.29004,-0.922518
3.47512,-3.47841,-1.20697,-1.01267
3.77134,-3.20926,-1.11628,-1.09644
4.04931,-2.91344,-1.0184,-1.17314
4.30643,-2.59166,-0.913814,-1.24211
4.54006,-2.24489,-0.803077,-1.30272
4.74745,-1.8744,-0.686811,-1.35435
4.92583,-1.48177,-0.565705,-1.39644
5.07245,-1.06895,-0.440519,-1.42844
5.1846,-0.6383,-0.312082,-1.44989
5.25966,-0.192568,-0.181289,-1.46036
5.29522,0.265052,-0.0490992,-1.45952
5.28912,0.730933,0.0834719,-1.44711
5.23954,1.20103,0.215357,-1.42297
5.14507,1.67088,0.345449,-1.38705
5.00486,2.1357,0.472611,-1.33943
4.81863,2.59041,0.595692,-1.28027
4.58678,3.02973,0.713542,-1.2099
4.31047,3.44831,0.825031,-1.12878
3.99161,3.84086,0.929066,-1.03749
3.63291,4.20225,1.02461,-0.93674
3.23783,4.52769,1.11071,-0.827377
2.81055,4.81287,1.1865,-0.710356
2.35588,5.05406,1.25124,-0.586733
1.87914,5.24827,1.3043,-0.457652
1.38603,5.39327,1.3452,-0.32432
0.882486,5.48773,1.3736,-0.187989
0.374513,5.53114,1.38932,-0.0499337
-0.131969,5.52387,1.39232,0.0885683
-0.631266,5.4671,1.38272,0.22626
-1.11803,5.36271,1.36076,0.361923
-1.58738,5.21325,1.32682,0.494396
-2.03496,5.02178,1.28139,0.622586
-2.45699,4.79175,1.22507,0.745485
-2.8503,4.52694,1.15854,0.862174
-3.21233,4.23128,1.08256,0.971832
-3.5411,3.9088,0.997926,1.07374
-3.8352,3.56353,0.905501,1.16727
-4.09369,3.1994,0.806166,1.25191
-4.31613,2.82022,0.700817,1.32724
-4.50245,2.42962,0.590359,1.39293
-4.65292,2.03101,0.475695,1.44872
-4.76811,1.62757,0.357713,1.49448
-4.84882,1.22225,0.237289,1.5301
-4.89603,0.817741,0.115272,1.55559
-4.91088,0.416504,-0.00751263,1.57099
-4.89459,0.0207732,-0.130272,1.57641
-4.84849,-0.367434,-0.252242,1.57203
-4.77393,-0.746299,-0.372696,1.55804
-4.67232,-1.11419,-0.490939,1.53471
-4.54506,-1.46963,-0.606312,1.50233
-4.39354,-1.8113,-0.718192,1.46123
-4.21916,-2.13802,-0.825989,1.41177
-4.02331,-2.4487,-0.92915,1.35433
-3.80732,-2.74237,-1.02715,1.28933
-3.57253,-3.01815,-1.11952,1.21721
-3.32025,-3.2752,-1.20578,1.13842
-3.05176,-3.51279,-1.28553,1.05345
-2.76833,-3.73021,-1.35837,0.962785
-2.4712,-3.92678,-1.42394,0.866941
-2.16162,-4.10189,-1.48193,0.766446
-1.84084,-4.25494,-1.53203,0.661846
-1.51008,-4.38535,-1.57397,0.553699
-1.17062,-4.49255,-1.60753,0.442579
-0.823709,-4.57601,-1.6325,0.329072
-0.470668,-4.63521,-1.64872,0.213778
-0.112833,-4.66962,-1.65604,0.0973113
0.24841,-4.67876,-1.65436,-0.0197029
