VelocityX,VelocityY,PositionX,PositionY
-5.85379,2.51368,0.398374,0.902516
-6.18599,1.55763,0.246911,0.953761
-6.35958,0.558395,0.0890752,0.980398
-6.36906,-0.456743,-0.0710679,0.981681
-6.21399,-1.45984,-0.229378,0.957561
-5.89896,-2.42336,-0.381767,0.908689
-5.43349,-3.32118,-0.524326,0.836393
-4.83147,-4.12952,-0.653442,0.74263
-4.11061,-4.82773,-0.7659,0.629917
-3.29166,-5.39889,-0.858972,0.501243
-2.39752,-5.83016,-0.930482,0.359972
-1.45241,-6.11302,-0.978848,0.209735
-0.481041,-6.2432,-1.0031,0.0543211
0.492151,-6.2205,-1.0029,-0.102425
1.44365,-6.04855,-0.978495,-0.256704
2.35139,-5.73436,-0.930717,-0.404853
3.19515,-5.28792,-0.860926,-0.543422
3.95687,-4.72176,-0.77096,-0.669249
4.62086,-4.05051,-0.663082,-0.77951
5.17388,-3.29046,-0.539917,-0.871774
5.60526,-2.45923,-0.404388,-0.944033
5.90688,-1.57539,-0.259654,-0.994736
6.07322,-0.658205,-0.109044,-1.0228
6.10127,0.272689,0.0440065,-1.02765
5.99062,1.1975,0.19602,-1.00917
5.74335,2.09654,0.343537,-0.967771
5.36411,2.95046,0.483187,-0.904342
4.86006,3.74051,0.611743,-0.820248
4.24092,4.4488,0.72619,-0.717316
3.51887,5.05865,0.823789,-0.597808
2.70858,5.5549,0.902134,-0.464384
1.82706,5.92428,0.959218,-0.320063
0.893499,6.15586,0.993487,-0.168169
-0.0709521,6.24144,1.00389,-0.0122697
-1.04355,6.17598,0.989939,0.143902
-2.00042,5.95803,0.951715,0.296529
-2.91712,5.59002,0.889918,0.441804
-3.76931,5.07853,0.805859,0.576031
-4.53357,4.43438,0.701452,0.695731
-5.18821,3.67253,0.579181,0.797749
-5.71412,2.81187,0.442042,0.879357
-6.0956,1.87469,0.293475,0.938343
-6.32103,0.886049,0.137262,0.973092
-6.38347,-0.127127,-0.0225769,0.982645
-6.28096,-1.13697,-0.181911,0.966735
-6.01661,-2.11573,-0.336625,0.925797
-5.5985,-3.0368,-0.482742,0.860949
-5.03925,-3.87567,-0.61655,0.773957
-4.35546,-4.61074,-0.734705,0.667166
-3.56695,-5.22398,-0.834323,0.54342
-2.69595,-5.70134,-0.913052,0.405967
-1.76626,-6.03299,-0.969121,0.258353
-0.802361,-6.21336,-1.00137,0.104317
0.171291,-6.24097,-1.00924,-0.0523152
1.13097,-6.11823,-0.992801,-0.207732
2.05422,-5.85102,-0.95269,-0.358227
2.92029,-5.44831,-0.89009,-0.500283
3.71046,-4.92171,-0.806676,-0.630642
4.4083,-4.28507,-0.704567,-0.746369
4.99973,-3.55404,-0.586261,-0.844896
5.47321,-2.74569,-0.45458,-0.92407
5.81969,-1.87821,-0.312601,-0.982181
6.03269,-0.970574,-0.163595,-1.01798
6.10824,-0.0422547,-0.0109665,-1.03071
6.04496,0.886996,0.141817,-1.02009
5.84395,1.79741,0.291281,-0.986359
5.50891,2.66944,0.434015,-0.930223
5.04606,3.48402,0.566727,-0.852887
4.46419,4.22284,0.686318,-0.756022
3.77464,4.86863,0.789937,-0.641745
2.99126,5.40555,0.875049,-0.512591
2.13034,5.81952,0.939499,-0.371468
1.21046,6.09866,0.981566,-0.221615
0.252275,6.23375,1.00002,-0.0665347
-0.721807,6.21859,0.99418,0.0900726
-1.68807,6.0505,0.963932,0.244395
-2.62203,5.73065,0.909777,0.392598
-3.4991,5.26433,0.83283,0.530927
-4.29537,4.66106,0.734821,0.655814
-4.98844,3.93465,0.618062,0.76398
-5.55824,3.10288,0.4854,0.852546
-5.98793,2.18717,0.34015,0.919125
-6.2646,1.21186,0.186003,0.961905
-6.37984,0.20345,0.0269198,0.979718
-6.33021,-0.81035,-0.132989,0.972077
-6.11732,-1.80167,-0.289591,0.9392
-5.74779,-2.7435,-0.438855,0.881994
-5.2329,-3.61067,-0.57698,0.802025
-4.58809,-4.38071,-0.7005,0.70146
-3.8322,-5.03449,-0.806384,0.58299
-2.98673,-5.55678,-0.892111,0.449736
-2.07494,-5.93647,-0.955721,0.305151
-1.12105,-6.16667,-0.995857,0.152912
-0.149456,-6.24463,-1.01177,-0.00318266
0.815949,-6.17149,-1.00333,-0.159319
1.75237,-5.952,-0.970976,-0.311757
2.63858,-5.59406,-0.915711,-0.456919
3.45523,-5.10835,-0.839047,-0.59146
4.18514,-4.5079,-0.74295,-0.712337
4.81347,-3.80767,-0.62979,-0.816855
5.32779,-3.02419,-0.502276,-0.90272
5.71817,-2.17519,-0.3634,-0.968065
5.97717,-1.27934,-0.216368,-1.01148
6.09989,-0.355916,-0.0645418,-1.03203
6.08396,0.575409,0.0886263,-1.02928
5.92956,1.49484,0.239656,-1.00326
5.63939,2.38268,0.385104,-0.954534
5.21875,3.21959,0.521626,-0.884127
4.6755,3.98688,0.646041,-0.793554
4.0201,4.66678,0.755401,-0.684783
3.26558,5.2428,0.847046,-0.560215
2.42746,5.7001,0.91868,-0.422643
1.52367,6.02592,0.96842,-0.275209
0.574303,6.21,0.994863,-0.121347
-0.39863,6.24504,0.997135,0.0352903
-1.37164,6.12714,0.974931,0.190905
-2.32028,5.8562,0.928553,0.341647
-3.21978,5.4362,0.858917,0.483715
-4.04582,4.87539,0.767564,0.613457
-4.77532,4.18632,0.656627,0.727485
-5.38737,3.38568,0.528797,0.822774
-5.86401,2.4939,0.387258,0.896769
-6.19106,1.53457,0.235597,0.947468
-6.35872,0.533702,0.0777052,0.973497
-6.36204,-0.481257,-0.082339,0.974153
-6.20114,-1.48238,-0.240397,0.949434
-5.88118,-2.44234,-0.392396,0.900034
-5.41207,-3.33538,-0.534456,0.827317
-4.80801,-4.13818,-0.663,0.733265
-4.08684,-4.83064,-0.774856,0.620408
-3.26922,-5.39637,-0.867341,0.491733
-2.37785,-5.82302,-0.938317,0.35059
-1.43661,-6.10241,-0.986234,0.200582
-0.469777,-6.23051,-1.01015,0.0454691
0.498689,-6.20722,-1.00972,-0.110943
1.44572,-6.0361,-0.985214,-0.264892
2.34965,-5.72398,-0.937437,-0.412748
3.19057,-5.28056,-0.867731,-0.551091
3.95064,-4.71801,-0.777909,-0.676776
4.61423,-4.05055,-0.6702,-0.786991
5.16809,-3.2941,-0.547197,-0.879303
5.6014,-2.46592,-0.411795,-0.951696
5.9058,-1.58429,-0.267127,-1.0026
6.07546,-0.668241,-0.116505,-1.03091
6.10704,0.262684,0.0366458,-1.03601
5.99972,1.1887,0.188847,-1.01778
5.75527,2.09003,0.336632,-0.976576
5.378,2.9471,0.47661,-0.913275
4.87485,3.74088,0.605532,-0.829221
4.25536,4.45313,0.720353,-0.726231
3.53169,5.06678,0.8183,-0.606565
2.71857,5.56625,0.896938,-0.472892
1.83321,5.93793,0.954229,-0.328252
0.895119,6.17058,0.988598,-0.175996
-0.0741584,6.25579,0.998985,-0.0197233
-1.05142,6.18847,0.98489,0.136794
-2.01232,5.96722,0.946414,0.2897
-2.93197,5.5947,0.884274,0.435154
-3.78568,5.07785,0.799815,0.569435
-4.54978,4.42795,0.69499,0.689047
-5.20253,3.66053,0.572326,0.790832
-5.72491,2.79501,0.434864,0.872073
-6.1015,1.85417,0.28608,0.930583
-6.32113,0.86343,0.129789,0.964782
-6.37737,-0.150042,-0.0299761,0.973754
-6.26884,-1.15835,-0.18908,0.95728
-5.99922,-2.1339,-0.343418,0.915837
-5.57706,-3.05042,-0.489041,0.850585
-5.01531,-3.88384,-0.622271,0.763316
-4.33073,-4.6131,-0.739806,0.656393
-3.54313,-5.22071,-0.838807,0.532661
-2.67458,-5.69312,-0.916963,0.395357
-1.74854,-6.02091,-0.972536,0.248005
-0.789082,-6.19877,-1.00439,0.0943116
0.1798,-6.22538,-1.01199,-0.0619337
1.13485,-6.10309,-0.9954,-0.216957
2.05402,-5.83764,-0.955248,-0.367088
2.91692,-5.43772,-0.892699,-0.508839
3.70508,-4.91462,-0.809402,-0.638974
4.40214,-4.28178,-0.707445,-0.75457
4.99407,-3.55445,-0.589295,-0.853063
5.46919,-2.74934,-0.457741,-0.932292
5.81823,-1.88431,-0.315835,-0.99053
6.03443,-0.978104,-0.166829,-1.02651
6.11347,-0.0500632,-0.014114,-1.03944
6.05359,0.880098,0.138844,-1.02901
5.85555,1.79253,0.288566,-0.99543
5.52269,2.66752,0.431622,-0.939384
5.06099,3.48572,0.5647,-0.862054
4.47905,4.22847,0.684671,-0.765099
3.78815,4.87814,0.788653,-0.650631
3.00219,5.41846,0.874079,-0.521192
2.13761,5.83499,0.938762,-0.379708
1.2133,6.11553,0.980959,-0.229442
0.250278,6.25062,0.999427,-0.0739313
-0.728605,6.23397,0.993473,0.0830888
-1.69916,6.06293,0.962997,0.237767
-2.63644,5.73884,0.908515,0.386235
-3.51549,5.26733,0.831175,0.524709
-4.31212,4.65838,0.732741,0.649602
-5.0038,3.92631,0.615569,0.757629
-5.57055,3.08945,0.482551,0.845917
-5.99573,2.16972,0.337041,0.912101
-6.26683,1.19188,0.182764,0.954403
-6.37598,0.182704,0.0236998,0.971695
-6.32027,-0.830023,-0.136035,0.963538
-6.10191,-1.81853,-0.292314,0.930194
-5.728,-2.75609,-0.44113,0.872612
-5.21023,-3.61795,-0.578714,0.79239
-4.56423,-4.38216,-0.701642,0.691714
-3.80889,-5.03016,-0.806925,0.573281
-2.96556,-5.54723,-0.892086,0.440206
-2.05723,-5.9227,-0.955203,0.29592
-1.10773,-6.15002,-0.994948,0.144071
-0.140994,-6.22659,-1.01059,-0.0115809
0.81958,-6.1536,-1.002,-0.167259
1.75164,-5.93564,-0.969611,-0.319261
2.63434,-5.58039,-0.914415,-0.464041
3.44861,-5.09819,-0.837894,-0.59828
4.17744,-4.50166,-0.741985,-0.71895
4.806,-3.80537,-0.629022,-0.823364
5.32179,-3.02543,-0.501685,-0.909219
5.71467,-2.17925,-0.362933,-0.974635
5.97691,-1.2852,-0.215951,-1.01818
6.10328,-0.362407,-0.064087,-1.0389
6.09101,0.569538,0.0892127,-1.0363
5.93988,1.49078,0.240463,-1.01042
5.65227,2.38146,0.386207,-0.961763
5.23315,3.22199,0.523077,-0.891346
4.6902,3.99331,0.647864,-0.800663
4.03376,4.67729,0.757586,-0.69168
3.27689,5.25699,0.849552,-0.566799
2.43527,5.7172,0.921431,-0.42883
1.52707,6.04479,0.971316,-0.280939
0.572773,6.22925,0.997785,-0.126591
-0.405166,6.26316,0.999954,0.0305234
-1.38278,6.1426,0.977526,0.186567
-2.33514,5.86765,0.930816,0.337654
-3.23707,5.44257,0.860769,0.479949
-4.06395,4.87606,0.768962,0.609782
-4.79255,4.1812,0.657572,0.723753
-5.40197,3.37522,0.529335,0.818842
-5.87445,2.47907,0.387474,0.892513
-6.19618,1.5168,0.235612,0.942796
-6.35785,0.5147,0.0776647,0.968353
-6.35508,-0.499638,-0.0822805,0.968531
-6.18856,-1.49836,-0.240089,0.943371
-5.86397,-2.45438,-0.391709,0.893613
-5.39164,-3.34234,-0.533288,0.820652
-4.78603,-4.13943,-0.661291,0.726496
-4.06504,-4.8261,-0.772589,0.613681
-3.24926,-5.38648,-0.864543,0.485191
-2.36112,-5.8087,-0.935052,0.344357
-1.42412,-6.08492,-0.982599,0.194756
-0.462091,-6.21133,-1.00626,0.0401108
0.501485,-6.18788,-1.0057,-0.11581
1.444,-6.01804,-0.981184,-0.269283
2.34419,-5.70842,-0.933503,-0.416713
3.18246,-5.26841,-0.863974,-0.554705
3.94114,-4.70977,-0.77438,-0.680133
4.60467,-4.04633,-0.666918,-0.790193
5.15975,-3.29359,-0.544146,-0.882449
5.59537,-2.46845,-0.40893,-0.954873
5.90292,-1.58888,-0.264378,-1.00587
6.07621,-0.673746,-0.113784,-1.03432
6.11151,0.257527,0.0394328,-1.03956
6.00763,1.18513,0.191792,-1.02144
5.76596,2.08911,0.339815,-0.980303
5.39049,2.9497,0.48009,-0.916985
4.88792,3.7475,0.609339,-0.832818
4.26767,4.4639,0.724486,-0.72961
3.54191,5.08138,0.822723,-0.609623
2.72548,5.58398,0.901581,-0.475541
1.83584,5.95768,0.958996,-0.330424
0.892859,6.19098,0.993373,-0.177657
-0.0814717,6.27531,1.00364,-0.0208751
-1.06347,6.20555,0.989299,0.136109
-2.0283,5.98044,0.950466,0.289402
-2.95064,5.60295,0.887884,0.435131
-3.80549,5.08042,0.802934,0.569549
-4.569,4.42466,0.69761,0.689152
-5.21942,3.65174,0.574484,0.790783
-5.73791,2.78162,0.436639,0.871739
-6.10939,1.83753,0.287588,0.929863
-6.32317,0.845206,0.13117,0.963615
-6.37338,-0.168033,-0.0285702,0.972124
-6.25921,-1.17433,-0.1875,0.955214
-5.98487,-2.14631,-0.341531,0.913407
-5.55931,-3.05806,-0.486743,0.847898
-4.99575,-3.88602,-0.619496,0.760504
-4.31106,-4.60964,-0.736531,0.653597
-3.52498,-5.21197,-0.835049,0.530022
-2.65934,-5.6799,-0.912779,0.392999
-1.73725,-6.00438,-0.968016,0.246027
-0.782386,-6.18033,-0.999642,0.0927798
0.18175,-6.2065,-1.00714,-0.0629898
1.13234,-6.08518,-0.990555,-0.217545
2.04774,-5.82192,-0.950518,-0.367249
2.90785,-5.42513,-0.888168,-0.508641
3.69442,-4.90571,-0.805126,-0.638505
4.39117,-4.27673,-0.703447,-0.753927
4.98403,-3.55302,-0.585567,-0.852342
5.46117,-2.75096,-0.454246,-0.931578
5.81309,-1.88809,-0.312509,-0.989889
6.03268,-0.982953,-0.163591,-1.02598
6.1153,-0.0547777,-0.0108746,-1.03904
6.05876,0.876717,0.142174,-1.02872
5.86349,1.79157,0.292064,-0.995201
5.5325,2.66984,0.435348,-0.939143
5.07151,3.49188,0.568688,-0.861709
4.489,4.23866,0.688923,-0.764549
3.79619,4.89211,0.793138,-0.649776
3.0071,5.43558,0.878733,-0.519943
2.1384,5.85425,0.943493,-0.377997
1.2093,6.13561,0.985653,-0.227231
0.241242,6.27001,1.00396,-0.0712168
-0.742433,6.25112,0.997715,0.0862696
-1.71705,6.0764,0.966836,0.241339
-2.65724,5.74745,0.911863,0.390089
-3.53767,5.27028,0.833975,0.528712
-4.33397,4.65539,0.734979,0.653604
-5.02357,3.91764,0.617276,0.761481
-5.58662,3.07591,0.483801,0.849486
-6.00681,2.15259,0.337945,0.915277
-6.27209,1.17278,0.18346,0.957115
-6.37511,0.163452,0.0243408,0.973916
-6.31356,-0.847626,-0.135295,0.965287
-6.09017,-1.83287,-0.291337,0.931535
-5.71249,-2.7659,-0.439804,0.873644
-5.19251,-3.62243,-0.576962,0.79324
-4.54598,-4.38102,-0.699429,0.692523
-3.79176,-5.02365,-0.804261,0.574189
-2.951,-5.53607,-0.889017,0.44134
-2.04637,-5.90799,-0.951811,0.297385
-1.10128,-6.13309,-0.991335,0.145941
-0.139217,-6.2089,-1.00687,-0.00926909
0.81687,-6.13655,-0.998296,-0.164504
1.74503,-5.92049,-0.966031,-0.316096
2.62473,-5.56811,-0.911045,-0.460528
3.43714,-5.08942,-0.834795,-0.594502
4.16533,-4.49666,-0.739188,-0.714999
4.79449,-3.804,-0.626528,-0.819335
5.31198,-3.02721,-0.499463,-0.9052
5.70745,-2.18337,-0.360929,-0.970696
5.97288,-1.29064,-0.214091,-1.01437
6.10269,-0.368013,-0.0622846,-1.03523
6.09375,0.564944,0.0910439,-1.03277
5.94547,1.48829,0.242403,-1.00698
5.65989,2.38199,0.388317,-0.958354
5.24175,3.22617,0.525397,-0.887881
4.69852,4.00143,0.650405,-0.797045
4.04052,4.68922,0.760324,-0.687809
3.28084,5.27222,0.852431,-0.562584
2.43535,5.73481,0.924366,-0.424198
