VelocityX,VelocityY,PositionX,PositionY
-7.0397,-8.58368,-0.305392,0.166989
-0.524769,-9.81429,-0.392036,-0.0964593
4.06104,-7.4845,-0.33163,-0.323726
6.42025,-4.09707,-0.188985,-0.470684
7.16912,-0.550134,-0.0106178,-0.528579
6.6285,2.90193,0.169471,-0.498191
4.78657,6.1001,0.320807,-0.383483
1.34066,8.63959,0.4088,-0.193186
-4.03334,9.2672,0.38784,0.0484969
-9.81487,5.50227,0.207133,0.270174
-11.1137,-1.94491,-0.102903,0.32361
-6.89824,-7.48513,-0.348551,0.172929
-1.54615,-8.66954,-0.447815,-0.0506458
2.57321,-7.35778,-0.425859,-0.260549
5.3501,-4.8969,-0.319155,-0.418535
6.95619,-1.79049,-0.158354,-0.505394
7.36832,1.79786,0.0286545,-0.508059
6.22452,5.72894,0.210062,-0.415501
2.68886,9.37863,0.339881,-0.221613
-3.79301,10.3823,0.344505,0.053431
-9.7738,5.82991,0.15023,0.297502
-10.4282,-1.36924,-0.144185,0.344926
-6.86497,-6.01148,-0.371181,0.229041
-2.58482,-7.57856,-0.487434,0.0443524
1.22553,-7.24716,-0.500422,-0.149888
4.37822,-5.67186,-0.426157,-0.318006
6.79447,-3.05754,-0.281511,-0.43348
8.1853,0.632539,-0.0864331,-0.470883
7.71238,5.40269,0.127754,-0.401853
3.71327,10.1303,0.299186,-0.200748
-3.65613,10.804,0.313418,0.10466
-9.13223,5.80493,0.11638,0.33945
-9.44587,-0.415678,-0.143193,0.394906
-6.8972,-4.50694,-0.355914,0.318666
-3.5277,-6.58187,-0.488053,0.169559
-0.0120328,-7.1684,-0.532299,-0.0104269
3.44149,-6.48231,-0.488655,-0.188861
6.64758,-4.41893,-0.360224,-0.334542
9.06889,-0.585859,-0.156276,-0.409807
9.08162,5.22948,0.0932203,-0.363835
4.22652,10.5548,0.297805,-0.148333
-3.29707,10.5726,0.304546,0.163902
-7.87239,5.82447,0.132952,0.380297
-8.4579,0.746582,-0.089073,0.455126
-6.95438,-3.07902,-0.289943,0.417626
-4.42705,-5.66831,-0.436792,0.301175
