VelocityX,VelocityY,PositionX,PositionY
-0.825349,1.11463,16.3004,11.2786
-0.827415,1.11319,16.2797,11.3064
-0.829479,1.11176,16.259,11.3342
-0.83154,1.11032,16.2383,11.362
-0.833599,1.10887,16.2175,11.3897
-0.835656,1.10742,16.1966,11.4174
-0.837711,1.10597,16.1757,11.4451
-0.839763,1.10452,16.1547,11.4727
-0.841813,1.10306,16.1337,11.5003
-0.84386,1.10159,16.1126,11.5279
-0.845905,1.10013,16.0915,11.5554
-0.847948,1.09866,16.0703,11.5829
-0.849989,1.09718,16.0491,11.6103
-0.852027,1.09571,16.0278,11.6378
-0.854062,1.09422,16.0065,11.6651
-0.856096,1.09274,15.9851,11.6925
-0.858127,1.09125,15.9637,11.7198
-0.860155,1.08976,15.9422,11.747
-0.862182,1.08826,15.9207,11.7743
-0.864205,1.08676,15.8991,11.8014
-0.866227,1.08526,15.8775,11.8286
-0.868246,1.08375,15.8558,11.8557
-0.870262,1.08224,15.8341,11.8828
-0.872276,1.08072,15.8123,11.9098
-0.874288,1.0792,15.7904,11.9368
-0.876297,1.07768,15.7686,11.9638
-0.878304,1.07615,15.7466,11.9907
-0.880309,1.07462,15.7246,12.0176
-0.88231,1.07309,15.7026,12.0444
-0.88431,1.07155,15.6805,12.0712
-0.886307,1.07001,15.6584,12.098
-0.888301,1.06847,15.6362,12.1247
-0.890293,1.06692,15.614,12.1514
-0.892283,1.06537,15.5917,12.1781
-0.89427,1.06381,15.5694,12.2047
-0.896254,1.06225,15.547,12.2313
-0.898236,1.06069,15.5246,12.2578
-0.900216,1.05912,15.5021,12.2843
-0.902193,1.05755,15.4795,12.3108
-0.904167,1.05598,15.457,12.3372
-0.906139,1.0544,15.4343,12.3636
-0.908109,1.05282,15.4117,12.3899
-0.910075,1.05123,15.3889,12.4162
-0.91204,1.04964,15.3662,12.4425
-0.914001,1.04805,15.3433,12.4687
-0.91596,1.04646,15.3205,12.4949
-0.917917,1.04486,15.2975,12.521
-0.919871,1.04325,15.2746,12.5471
-0.921822,1.04165,15.2515,12.5732
-0.923771,1.04004,15.2285,12.5992
-0.925717,1.03842,15.2054,12.6252
-0.927661,1.0368,15.1822,12.6511
-0.929602,1.03518,15.159,12.677
-0.93154,1.03356,15.1357,12.7029
-0.933475,1.03193,15.1124,12.7287
-0.935409,1.0303,15.089,12.7545
-0.937339,1.02866,15.0656,12.7802
-0.939267,1.02702,15.0422,12.8059
-0.941192,1.02538,15.0187,12.8316
-0.943114,1.02373,14.9951,12.8572
-0.945034,1.02208,14.9715,12.8827
-0.946951,1.02043,14.9479,12.9083
-0.948865,1.01877,14.9242,12.9338
-0.950777,1.01711,14.9004,12.9592
-0.952686,1.01545,14.8766,12.9846
-0.954592,1.01378,14.8528,13.01
-0.956496,1.01211,14.8289,13.0353
-0.958397,1.01043,14.805,13.0606
-0.960295,1.00875,14.781,13.0858
-0.962191,1.00707,14.7569,13.111
-0.964083,1.00539,14.7329,13.1362
-0.965973,1.0037,14.7087,13.1613
-0.967861,1.002,14.6846,13.1864
-0.969745,1.00031,14.6603,13.2114
-0.971627,0.998606,14.6361,13.2364
-0.973506,0.996903,14.6118,13.2613
-0.975382,0.995196,14.5874,13.2862
-0.977255,0.993485,14.563,13.3111
-0.979126,0.991771,14.5385,13.3359
-0.980994,0.990053,14.514,13.3607
-0.982859,0.988332,14.4895,13.3854
-0.984721,0.986607,14.4649,13.4101
-0.98658,0.984879,14.4402,13.4347
-0.988437,0.983147,14.4156,13.4593
-0.990291,0.981412,14.3908,13.4839
-0.992142,0.979673,14.366,13.5084
-0.99399,0.977931,14.3412,13.5329
-0.995835,0.976185,14.3163,13.5573
-0.997678,0.974436,14.2914,13.5817
-0.999517,0.972683,14.2665,13.606
-1.00135,0.970927,14.2415,13.6303
-1.00319,0.969167,14.2164,13.6546
-1.00502,0.967404,14.1913,13.6788
-1.00685,0.965637,14.1661,13.7029
-1.00867,0.963867,14.1409,13.7271
-1.01049,0.962093,14.1157,13.7511
-1.01231,0.960316,14.0904,13.7752
-1.01413,0.958536,14.0651,13.7992
-1.01594,0.956752,14.0397,13.8231
-1.01775,0.954964,14.0143,13.847
-1.01956,0.953173,13.9888,13.8708
-1.02137,0.951379,13.9633,13.8947
-1.02317,0.949581,13.9378,13.9184
-1.02497,0.94778,13.9122,13.9421
-1.02676,0.945975,13.8865,13.9658
-1.02856,0.944167,13.8608,13.9894
-1.03035,0.942356,13.8351,14.013
-1.03213,0.940541,13.8093,14.0365
-1.03392,0.938722,13.7835,14.06
-1.0357,0.936901,13.7576,14.0835
-1.03748,0.935076,13.7317,14.1069
-1.03925,0.933247,13.7057,14.1302
-1.04102,0.931415,13.6797,14.1535
