VelocityX,VelocityY,PositionX,PositionY
1.08604,0.189424,12.8783,-31.3876
1.08572,0.190218,12.9055,-31.3829
1.08539,0.191012,12.9326,-31.3781
1.08506,0.191806,12.9597,-31.3734
1.08473,0.192599,12.9868,-31.3685
1.08441,0.193391,13.014,-31.3637
1.08408,0.194183,13.0411,-31.3589
1.08375,0.194974,13.0682,-31.354
1.08342,0.195765,13.0953,-31.3491
1.08309,0.196555,13.1223,-31.3442
1.08276,0.197345,13.1494,-31.3393
1.08242,0.198134,13.1765,-31.3344
1.08209,0.198923,13.2035,-31.3294
1.08176,0.199711,13.2306,-31.3244
1.08143,0.200498,13.2576,-31.3194
1.08109,0.201286,13.2847,-31.3144
1.08076,0.202072,13.3117,-31.3093
1.08042,0.202858,13.3387,-31.3043
1.08009,0.203643,13.3657,-31.2992
1.07975,0.204428,13.3927,-31.2941
1.07942,0.205213,13.4197,-31.289
1.07908,0.205997,13.4467,-31.2838
1.07874,0.20678,13.4736,-31.2787
1.07841,0.207563,13.5006,-31.2735
1.07807,0.208345,13.5276,-31.2683
1.07773,0.209126,13.5545,-31.2631
1.07739,0.209908,13.5814,-31.2578
1.07705,0.210688,13.6084,-31.2526
1.07671,0.211468,13.6353,-31.2473
1.07637,0.212248,13.6622,-31.242
1.07603,0.213027,13.6891,-31.2367
1.07569,0.213805,13.716,-31.2314
1.07535,0.214583,13.7429,-31.226
1.075,0.21536,13.7698,-31.2206
1.07466,0.216137,13.7967,-31.2152
1.07432,0.216914,13.8235,-31.2098
1.07397,0.217689,13.8504,-31.2044
1.07363,0.218465,13.8772,-31.1989
1.07328,0.219239,13.904,-31.1935
1.07294,0.220013,13.9309,-31.188
1.07259,0.220787,13.9577,-31.1825
1.07225,0.22156,13.9845,-31.1769
1.0719,0.222333,14.0113,-31.1714
1.07155,0.223105,14.0381,-31.1658
1.07121,0.223876,14.0649,-31.1602
1.07086,0.224647,14.0917,-31.1546
1.07051,0.225417,14.1184,-31.149
1.07016,0.226187,14.1452,-31.1434
1.06981,0.226956,14.1719,-31.1377
1.06946,0.227725,14.1987,-31.132
1.06911,0.228493,14.2254,-31.1263
1.06876,0.229261,14.2521,-31.1206
1.06841,0.230028,14.2788,-31.1148
1.06805,0.230795,14.3056,-31.1091
1.0677,0.231561,14.3322,-31.1033
1.06735,0.232326,14.3589,-31.0975
1.06699,0.233091,14.3856,-31.0917
1.06664,0.233856,14.4123,-31.0859
1.06629,0.234619,14.4389,-31.08
1.06593,0.235383,14.4656,-31.0741
1.06558,0.236146,14.4922,-31.0682
1.06522,0.236908,14.5189,-31.0623
1.06486,0.23767,14.5455,-31.0564
1.06451,0.238431,14.5721,-31.0504
1.06415,0.239191,14.5987,-31.0445
1.06379,0.239951,14.6253,-31.0385
1.06343,0.240711,14.6519,-31.0325
1.06307,0.24147,14.6785,-31.0264
1.06272,0.242229,14.7051,-31.0204
1.06236,0.242986,14.7316,-31.0143
1.062,0.243744,14.7582,-31.0082
1.06164,0.244501,14.7847,-31.0021
1.06127,0.245257,14.8113,-30.996
1.06091,0.246013,14.8378,-30.9899
1.06055,0.246768,14.8643,-30.9837
1.06019,0.247523,14.8908,-30.9775
1.05983,0.248277,14.9173,-30.9713
1.05946,0.24903,14.9438,-30.9651
1.0591,0.249784,14.9703,-30.9589
1.05873,0.250536,14.9968,-30.9526
1.05837,0.251288,15.0232,-30.9464
1.05801,0.252039,15.0497,-30.9401
1.05764,0.25279,15.0761,-30.9338
1.05727,0.253541,15.1026,-30.9274
1.05691,0.254291,15.129,-30.9211
1.05654,0.25504,15.1554,-30.9147
1.05617,0.255789,15.1818,-30.9083
