VelocityX,VelocityY,PositionX,PositionY
1.78967,0.732818,3.63615,-9.35579
1.78608,0.741967,3.68085,-9.33735
1.78245,0.7511,3.72545,-9.31869
1.77876,0.760218,3.76997,-9.2998
1.77504,0.769319,3.81439,-9.28068
1.77127,0.778405,3.85872,-9.26133
1.76745,0.787475,3.90296,-9.24176
1.76359,0.796528,3.94709,-9.22196
1.75969,0.805564,3.99114,-9.20193
1.75574,0.814583,4.03508,-9.18168
1.75175,0.823586,4.07892,-9.1612
1.74771,0.832571,4.12267,-9.1405
1.74363,0.841538,4.16631,-9.11958
1.73951,0.850488,4.20985,-9.09842
1.73534,0.85942,4.25328,-9.07705
1.73113,0.868334,4.29662,-9.05545
1.72687,0.87723,4.33984,-9.03363
1.72257,0.886107,4.38296,-9.01159
1.71823,0.894966,4.42597,-8.98933
1.71384,0.903806,4.46887,-8.96684
1.70941,0.912626,4.51166,-8.94414
1.70493,0.921428,4.55434,-8.92121
1.70042,0.93021,4.59691,-8.89807
1.69586,0.938972,4.63936,-8.8747
1.69125,0.947714,4.6817,-8.85112
1.6866,0.956436,4.72392,-8.82732
1.68191,0.965138,4.76603,-8.8033
1.67718,0.97382,4.80802,-8.77906
1.6724,0.98248,4.84989,-8.75461
1.66758,0.99112,4.89164,-8.72994
1.66272,0.999739,4.93327,-8.70505
1.65781,1.00834,4.97478,-8.67995
1.65287,1.01691,5.01616,-8.65463
1.64788,1.02547,5.05742,-8.6291
1.64284,1.034,5.09855,-8.60336
1.63777,1.04251,5.13956,-8.5774
1.63265,1.051,5.18044,-8.55123
1.62749,1.05946,5.22119,-8.52485
1.62229,1.0679,5.26182,-8.49826
1.61705,1.07632,5.30231,-8.47146
1.61176,1.08472,5.34267,-8.44444
1.60643,1.09309,5.3829,-8.41722
1.60106,1.10144,5.42299,-8.38979
1.59565,1.10976,5.46295,-8.36215
1.5902,1.11807,5.50277,-8.3343
1.5847,1.12634,5.54246,-8.30625
1.57917,1.13459,5.58201,-8.27799
1.57359,1.14282,5.62142,-8.24952
1.56797,1.15103,5.66069,-8.22084
1.56231,1.1592,5.69982,-8.19197
1.55661,1.16736,5.7388,-8.16288
1.55087,1.17548,5.77765,-8.1336
1.54508,1.18358,5.81635,-8.10411
1.53926,1.19166,5.8549,-8.07442
1.53339,1.19971,5.89331,-8.04453
1.52749,1.20773,5.93157,-8.01443
1.52154,1.21573,5.96968,-7.98414
1.51556,1.2237,6.00765,-7.95365
1.50953,1.23164,6.04546,-7.92296
1.50346,1.23955,6.08312,-7.89207
1.49735,1.24744,6.12063,-7.86098
1.49121,1.2553,6.15799,-7.82969
1.48502,1.26314,6.19519,-7.79821
1.47879,1.27094,6.23224,-7.76654
1.47252,1.27872,6.26913,-7.73467
1.46622,1.28646,6.30587,-7.7026
1.45987,1.29418,6.34245,-7.67034
1.45348,1.30187,6.37886,-7.63789
1.44706,1.30954,6.41512,-7.60525
1.44059,1.31717,6.45122,-7.57241
1.43409,1.32477,6.48715,-7.53939
1.42754,1.33234,6.52292,-7.50618
1.42096,1.33989,6.55853,-7.47277
1.41434,1.3474,6.59397,-7.43918
1.40768,1.35489,6.62924,-7.4054
1.40098,1.36234,6.66435,-7.37144
1.39424,1.36976,6.69929,-7.33729
1.38746,1.37715,6.73406,-7.30295
1.38065,1.38451,6.76867,-7.26843
1.37379,1.39184,6.8031,-7.23372
1.3669,1.39914,6.83735,-7.19884
1.35997,1.4064,6.87144,-7.16377
1.353,1.41364,6.90535,-7.12852
1.346,1.42084,6.93909,-7.09308
1.33896,1.42801,6.97265,-7.05747
1.33187,1.43515,7.00604,-7.02168
1.32475,1.44225,7.03925,-6.98572
1.3176,1.44933,7.07228,-6.94957
1.3104,1.45637,7.10513,-6.91325
1.30317,1.46337,7.1378,-6.87675
1.29591,1.47034,7.17029,-6.84008
1.2886,1.47728,7.20259,-6.80324
1.28126,1.48419,7.23472,-6.76622
1.27388,1.49106,7.26666,-6.72903
1.26646,1.4979,7.29841,-6.69166
1.25901,1.5047,7.32998,-6.65413
1.25152,1.51147,7.36136,-6.61643
1.244,1.5182,7.39255,-6.57856
1.23644,1.5249,7.42356,-6.54052
1.22884,1.53156,7.45438,-6.50231
1.22121,1.53819,7.485,-6.46394
1.21354,1.54478,7.51544,-6.4254
1.20583,1.55134,7.54568,-6.3867
1.19809,1.55786,7.57573,-6.34784
1.19032,1.56434,7.60558,-6.30881
1.18251,1.57079,7.63524,-6.26962
1.17466,1.5772,7.66471,-6.23027
1.16678,1.58358,7.69398,-6.19076
1.15887,1.58992,7.72305,-6.15109
