VelocityX,VelocityY,PositionX,PositionY
2.72186,0.27771,0.280643,-5.23201
2.71971,0.313611,0.348665,-5.22462
2.71708,0.349526,0.416628,-5.21633
2.71398,0.385448,0.484519,-5.20714
2.7104,0.421372,0.552327,-5.19706
2.70635,0.457292,0.620039,-5.18607
2.70182,0.4932,0.687644,-5.17419
2.69681,0.529092,0.75513,-5.16141
2.69132,0.56496,0.822485,-5.14774
2.68535,0.600798,0.889696,-5.13316
2.6789,0.6366,0.956752,-5.1177
2.67197,0.672359,1.02364,-5.10133
2.66456,0.708069,1.09035,-5.08408
2.65666,0.743723,1.15687,-5.06593
2.64828,0.779315,1.22318,-5.04689
2.63942,0.814837,1.28928,-5.02696
2.63007,0.850284,1.35515,-5.00615
2.62024,0.885648,1.42079,-4.98445
2.60992,0.920923,1.48617,-4.96187
2.59912,0.956102,1.55128,-4.9384
2.58784,0.991179,1.61612,-4.91406
2.57607,1.02615,1.68068,-4.88885
2.56382,1.061,1.74493,-4.86276
2.55108,1.09572,1.80887,-4.8358
2.53787,1.13032,1.87248,-4.80797
2.52417,1.16478,1.93576,-4.77928
2.50999,1.19909,1.99869,-4.74973
2.49532,1.23326,2.06126,-4.71933
2.48018,1.26726,2.12346,-4.68807
2.46456,1.3011,2.18527,-4.65596
2.44846,1.33477,2.24668,-4.62301
2.43189,1.36826,2.30769,-4.58922
2.41484,1.40156,2.36828,-4.5546
2.39732,1.43466,2.42843,-4.51915
2.37933,1.46757,2.48814,-4.48287
2.36086,1.50027,2.5474,-4.44577
2.34193,1.53275,2.60619,-4.40785
2.32253,1.56502,2.6645,-4.36913
2.30267,1.59705,2.72231,-4.3296
2.28234,1.62884,2.77963,-4.28928
2.26156,1.6604,2.83643,-4.24816
2.24032,1.6917,2.89271,-4.20626
2.21862,1.72274,2.94845,-4.16358
2.19648,1.75352,3.00364,-4.12012
2.17388,1.78403,3.05827,-4.0759
2.15084,1.81426,3.11233,-4.03092
2.12735,1.8442,3.16581,-3.98519
2.10342,1.87385,3.2187,-3.93871
2.07906,1.9032,3.27098,-3.89149
2.05426,1.93224,3.32265,-3.84355
2.02904,1.96097,3.3737,-3.79488
2.00339,1.98937,3.4241,-3.7455
1.97731,2.01745,3.47387,-3.69541
1.95082,2.0452,3.52297,-3.64463
1.92391,2.0726,3.57141,-3.59315
1.89659,2.09965,3.61917,-3.541
1.86887,2.12635,3.66624,-3.48817
1.84075,2.15269,3.71261,-3.43468
1.81223,2.17865,3.75827,-3.38054
1.78331,2.20425,3.80322,-3.32575
1.75401,2.22946,3.84744,-3.27032
1.72433,2.25428,3.89092,-3.21427
1.69427,2.27871,3.93366,-3.15761
1.66384,2.30273,3.97563,-3.10034
1.63304,2.32635,4.01685,-3.04247
1.60188,2.34956,4.05729,-2.98402
1.57036,2.37234,4.09694,-2.925
1.5385,2.3947,4.1358,-2.8654
1.50629,2.41663,4.17387,-2.80526
1.47374,2.43812,4.21112,-2.74457
1.44086,2.45917,4.24755,-2.68335
1.40765,2.47976,4.28316,-2.62161
1.37413,2.49991,4.31794,-2.55937
1.34029,2.51959,4.35187,-2.49662
1.30615,2.5388,4.38495,-2.43339
1.2717,2.55754,4.41718,-2.36968
1.23696,2.57581,4.44854,-2.30551
1.20194,2.59359,4.47902,-2.24089
1.16663,2.61088,4.50863,-2.17583
1.13105,2.62769,4.53736,-2.11034
1.09521,2.64399,4.56519,-2.04445
1.05911,2.6598,4.59212,-1.97815
1.02276,2.67509,4.61814,-1.91146
0.98617,2.68988,4.64325,-1.84439
0.949341,2.70415,4.66745,-1.77696
0.912285,2.7179,4.69072,-1.70918
0.875009,2.73112,4.71306,-1.64107
0.837521,2.74382,4.73447,-1.57263
0.799829,2.75598,4.75494,-1.50388
0.761941,2.76761,4.77446,-1.43483
0.723866,2.7787,4.79304,-1.3655
0.68561,2.78925,4.81066,-1.29589
0.647184,2.79925,4.82732,-1.22603
0.608594,2.8087,4.84302,-1.15593
0.569851,2.8176,4.85775,-1.0856
0.530961,2.82594,4.87151,-1.01505
0.491934,2.83372,4.8843,-0.944301
0.452778,2.84094,4.89611,-0.873364
0.413502,2.8476,4.90693,-0.802254
0.374115,2.85369,4.91678,-0.730985
0.334625,2.85921,4.92564,-0.65957
0.295042,2.86417,4.93351,-0.588024
0.255375,2.86855,4.94039,-0.516361
0.215632,2.87236,4.94628,-0.444596
0.175822,2.87559,4.95117,-0.372743
0.135955,2.87824,4.95507,-0.300817
0.0960389,2.88032,4.95797,-0.228831
0.0560838,2.88182,4.95987,-0.156801
0.0160986,2.88274,4.96078,-0.0847404
-0.0239076,2.88307,4.96068,-0.0126641
-0.0639257,2.88283,4.95958,0.0594133
-0.103946,2.882,4.95748,0.131477
-0.14396,2.8806,4.95438,0.203513
-0.183959,2.87861,4.95028,0.275507
-0.223932,2.87603,4.94519,0.347444
-0.263871,2.87288,4.93909,0.419309
-0.303766,2.86914,4.93199,0.491088
-0.343608,2.86483,4.9239,0.562766
-0.383388,2.85993,4.91481,0.634329
-0.423097,2.85446,4.90473,0.705763
-0.462726,2.84841,4.89366,0.777052
-0.502265,2.84178,4.88159,0.848183
-0.541705,2.83457,4.86854,0.919141
-0.581037,2.82679,4.85451,0.989912
-0.620252,2.81845,4.83949,1.06048
-0.65934,2.80953,4.8235,1.13083
-0.698294,2.80004,4.80652,1.20096
-0.737103,2.78999,4.78858,1.27084
-0.77576,2.77937,4.76967,1.34046
-0.814254,2.76819,4.74979,1.4098
-0.852577,2.75646,4.72896,1.47887
-0.890721,2.74417,4.70716,1.54763
-0.928676,2.73133,4.68442,1.61607
-0.966434,2.71794,4.66073,1.68419
-1.00399,2.70401,4.6361,1.75197
-1.04132,2.68953,4.61053,1.81939
-1.07844,2.67452,4.58403,1.88645
-1.11532,2.65897,4.55661,1.95312
-1.15197,2.64289,4.52827,2.0194
-1.18837,2.62629,4.49901,2.08526
-1.22451,2.60916,4.46885,2.15071
-1.26039,2.59152,4.43779,2.21572
-1.29599,2.57336,4.40583,2.28029
-1.33132,2.5547,4.37299,2.34439
-1.36636,2.53553,4.33926,2.40802
-1.4011,2.51587,4.30467,2.47117
-1.43554,2.49571,4.26921,2.53381
-1.46967,2.47506,4.23289,2.59595
-1.50348,2.45393,4.19572,2.65757
-1.53697,2.43233,4.15772,2.71865
-1.57012,2.41025,4.11888,2.77918
-1.60294,2.38771,4.07921,2.83916
-1.63541,2.3647,4.03873,2.89857
-1.66753,2.34125,3.99744,2.9574
-1.69929,2.31734,3.95535,3.01563
-1.73068,2.293,3.91248,3.07326
-1.7617,2.26821,3.86882,3.13028
-1.79234,2.243,3.82439,3.18667
-1.82259,2.21737,3.7792,3.24243
-1.85246,2.19132,3.73326,3.29754
-1.88192,2.16486,3.68658,3.352
-1.91099,2.138,3.63916,3.40579
-1.93964,2.11074,3.59103,3.4589
-1.96788,2.08309,3.54218,3.51132
-1.99571,2.05506,3.49264,3.56305
-2.0231,2.02666,3.4424,3.61408
-2.05007,1.99788,3.39148,3.66438
-2.0766,1.96875,3.33989,3.71397
-2.1027,1.93926,3.28765,3.76282
-2.12835,1.90943,3.23476,3.81093
-2.15354,1.87926,3.18123,3.85829
-2.17829,1.84876,3.12708,3.9049
-2.20258,1.81793,3.07232,3.95073
-2.22641,1.78679,3.01695,3.99579
-2.24977,1.75534,2.961,4.04007
-2.27266,1.72358,2.90446,4.08356
-2.29507,1.69154,2.84736,4.12625
-2.31702,1.65921,2.78971,4.16814
-2.33848,1.6266,2.73151,4.20921
-2.35945,1.59372,2.67279,4.24947
-2.37994,1.56058,2.61354,4.2889
-2.39994,1.52718,2.55379,4.32749
-2.41945,1.49354,2.49354,4.36525
-2.43846,1.45966,2.43282,4.40217
-2.45698,1.42555,2.37162,4.43824
-2.47499,1.39121,2.30997,4.47345
-2.4925,1.35666,2.24787,4.5078
-2.50951,1.3219,2.18534,4.54128
-2.52601,1.28695,2.1224,4.57389
-2.542,1.2518,2.05904,4.60563
-2.55748,1.21647,1.9953,4.63648
-2.57244,1.18097,1.93117,4.66645
-2.5869,1.14529,1.86667,4.69553
-2.60084,1.10946,1.80182,4.72372
-2.61426,1.07348,1.73663,4.75101
-2.62717,1.03735,1.67111,4.77739
-2.63956,1.00109,1.60527,4.80287
-2.65143,0.964698,1.53913,4.82745
-2.66278,0.928188,1.4727,4.85111
-2.67361,0.891565,1.40599,4.87386
-2.68392,0.854838,1.33902,4.89569
-2.69371,0.818014,1.2718,4.9166
-2.70298,0.781102,1.20434,4.93659
-2.71173,0.744108,1.13665,4.95565
-2.71995,0.707041,1.06875,4.97379
-2.72766,0.669908,1.00065,4.991
-2.73484,0.632717,0.932368,5.00729
-2.74151,0.595475,0.86391,5.02264
-2.74766,0.55819,0.795292,5.03706
-2.75329,0.520869,0.726527,5.05055
-2.7584,0.483521,0.657628,5.0631
-2.76299,0.446151,0.588607,5.07473
-2.76707,0.408768,0.519478,5.08541
-2.77063,0.371379,0.450254,5.09516
-2.77368,0.333991,0.380947,5.10398
-2.77622,0.296611,0.31157,5.11186
-2.77824,0.259246,0.242136,5.11881
-2.77976,0.221904,0.172658,5.12483
-2.78077,0.184592,0.103148,5.12991
-2.78127,0.147316,0.033619,5.13406
-2.78127,0.110083,-0.0359159,5.13727
-2.78077,0.0729005,-0.105445,5.13956
-2.77976,0.0357751,-0.174954,5.14092
-2.77826,-0.00128666,-0.244433,5.14135
-2.77626,-0.038278,-0.313867,5.14085
-2.77377,-0.0751923,-0.383246,5.13943
-2.77079,-0.112023,-0.452556,5.13709
-2.76731,-0.148764,-0.521785,5.13383
-2.76335,-0.185408,-0.590922,5.12966
-2.75891,-0.22195,-0.659953,5.12456
-2.75398,-0.258383,-0.728867,5.11856
-2.74858,-0.2947,-0.797652,5.11164
-2.7427,-0.330896,-0.866296,5.10382
